Id,FirstName,LastName,YearDied,Type,Score,Rank,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,DeletedDate,DeletedBy
470,Philippe,de Champaigne,1674,"[baroque,scene]",0,0,0001-01-01,2,0001-01-01,2,,
471,Giorgio,de Chirico,1978,"[surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
472,Andre,de Dienes,1985,"[monochromatic,photography,fashion]",0,0,0001-01-01,2,0001-01-01,2,,
473,Jan Davidsz,de Heem,1684,"[baroque,still life,flowers]",0,0,0001-01-01,2,0001-01-01,2,,
474,Pieter,de Hooch,1684,"[scene,realism,baroque]",0,0,0001-01-01,2,0001-01-01,2,,
475,Raoul,De Keyser,2012,"[abstract]",0,0,0001-01-01,2,0001-01-01,2,,
476,Elaine,de Kooning,1989,"[expressionism,abstract,messy]",0,0,0001-01-01,2,0001-01-01,2,,
477,Willem,de Kooning,1997,"[expressionism,abstract,messy]",0,0,0001-01-01,2,0001-01-01,2,,
478,Roger,de La Fresnaye,1925,"[cubism,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
479,Georges,de La Tour,1652,"[baroque,dark]",0,0,0001-01-01,2,0001-01-01,2,,
480,Tamara,de Lempicka,1980,"[cubism,art deco,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
481,Raimundo,de Madrazo y Garreta,1920,"[realism,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
482,Evelyn,De Morgan,1919,"[detailed,romanticism,symbolism]",0,0,0001-01-01,2,0001-01-01,2,,
483,Giuseppe,de Nittis,1884,"[impressionism,scene,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
484,Jusepe,de Ribera,1652,"[baroque,dark,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
485,Nicolas,de Stael,1955,"[abstract,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
486,Henri,de Toulouse-Lautrec,1901,"[impressionism,art nouveau,realism]",0,0,0001-01-01,2,0001-01-01,2,,
487,Maurice,de Vlaminck,1958,"[fauvism,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
488,Francisco,de Zurbaran,1664,"[baroque,Caravaggisti]",0,0,0001-01-01,2,0001-01-01,2,,
489,Richard,Deacon,1984,"[sculpture,abstract]",0,0,0001-01-01,2,0001-01-01,2,,
490,Roger,Deakins,,"[photography,vibrant,digital]",0,0,0001-01-01,2,0001-01-01,2,,
491,Roger,Dean,,"[landscape,fantasy,sci-fi]",0,0,0001-01-01,2,0001-01-01,2,,
492,Roy,DeCarava,2009,"[photography,melanin,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
493,Kelly Sue,Deconnick,,"[comics,character,scene]",0,0,0001-01-01,2,0001-01-01,2,,
494,Jay,DeFeo,1989,"[abstract,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
495,Michael,Deforge,,"[vibrant,cartoon,pop art]",0,0,0001-01-01,2,0001-01-01,2,,
496,Edgar,Degas,1917,"[impressionism,realism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
497,Lise,Deharme,1980,"[fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
498,Sebastiano,del Piombo,1547,"[renaissance,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
499,Eugene,Delacroix,1863,"[romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
500,Beauford,Delaney,1979,"[impressionism,abstract,colorful]",0,0,0001-01-01,2,0001-01-01,2,,
501,Janet,Delaney,,"[photography,streetscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
502,Robert,Delaunay,1941,"[abstract,cubism,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
503,Sonia,Delaunay,1979,"[cubism,fauvism,abstract]",0,0,0001-01-01,2,0001-01-01,2,,
504,Gabriele,Dell'otto,,"[comics,fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
505,Piero,della Francesca,1492,"[renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
506,Luca,della Robbia,1482,"[sculpture,renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
507,Nicolas,Delort,,"[monochromatic,detailed,fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
508,Paul,Delvaux,1994,"[surrealism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
509,Jean,Delville,1953,"[fantasy,symbolism]",0,0,0001-01-01,2,0001-01-01,2,,
510,Wim,Delvoye,,"[sculpture,detailed,installation]",0,0,0001-01-01,2,0001-01-01,2,,
511,Aron,Demetz,,"[sculpture,dark,character]",0,0,0001-01-01,2,0001-01-01,2,,
512,Posuka,Demizu,,"[anime,manga,fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
513,Guy,Denning,,"[portrait,messy,dark]",0,0,0001-01-01,2,0001-01-01,2,,
514,Mike,Deodato,,"[comics,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
515,Andre,Derain,1954,"[fauvism,impressionism,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
516,Martin,Deschambault,,"[digital,landscape,sci-fi]",0,0,0001-01-01,2,0001-01-01,2,,
517,Vincent,Desiderio,,"[realism]",0,0,0001-01-01,2,0001-01-01,2,,
518,Brian,Despain,,"[surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
519,Charles Maurice,Detmold,1908,"[fantasy,watercolor,art nouveau]",0,0,0001-01-01,2,0001-01-01,2,,
520,Edward Julius,Detmold,1957,"[fantasy,watercolor,art nouveau]",0,0,0001-01-01,2,0001-01-01,2,,
521,Anne,Dewailly,,"[figurativism,portrait,character,photorealism]",0,0,0001-01-01,2,0001-01-01,2,,
522,Vincent,Di Fate,,"[sci-fi,fantasy,space]",0,0,0001-01-01,2,0001-01-01,2,,
523,Richard,Diebenkorn,1993,"[abstract,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
524,Steve,Dillon,2016,"[comics,scene,character]",0,0,0001-01-01,2,0001-01-01,2,,
525,Mandy,Disher,,"[photography,flowers]",0,0,0001-01-01,2,0001-01-01,2,,
526,Walt,Disney,1966,"[cartoon,whimsical,storybook realism]",0,0,0001-01-01,2,0001-01-01,2,,
527,Tony,DiTerlizzi,,"[fantasy,whimsical]",0,0,0001-01-01,2,0001-01-01,2,,
528,Steve,Ditko,2018,"[comics,character]",0,0,0001-01-01,2,0001-01-01,2,,
529,Anna,Dittmann,,"[portrait,fantasy,digital]",0,0,0001-01-01,2,0001-01-01,2,,
530,Otto,Dix,1969,"[expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
531,Dima,Dmitriev,,"[impressionism,landscape,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
532,Tarsila,do Amaral,1973,"[surrealism,vibrant,cubism]",0,0,0001-01-01,2,0001-01-01,2,,
533,Thomas,Dodd,,"[dark,magic realism,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
534,Peter,Doig,,"[figurativism,landscape,abstract]",0,0,0001-01-01,2,0001-01-01,2,,
535,Ray,Donley,,"[baroque,portrait,dark]",0,0,0001-01-01,2,0001-01-01,2,,
536,Adrian,Donoghue,,"[cityscape,streetscape,architecture]",0,0,0001-01-01,2,0001-01-01,2,,
537,Stanley,Donwood,,"[high contrast,monochromatic,dark]",0,0,0001-01-01,2,0001-01-01,2,,
538,Gustave,Dore,1883,"[dark,detailed,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
539,Dave,Dorman,,"[sci-fi,horror,fantasy,photorealism]",0,0,0001-01-01,2,0001-01-01,2,,
540,Patrick,Dougherty,,"[sculpture,nature,installation]",0,0,0001-01-01,2,0001-01-01,2,,
541,Aaron,Douglas,,"[melanin,cubism,graphic design]",0,0,0001-01-01,2,0001-01-01,2,,
542,Arthur,Dove,1946,"[abstract,high contrast,fauvism]",0,0,0001-01-01,2,0001-01-01,2,,
543,David,Downton,,"[expressionism portrait,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
544,Richard,Doyle,,"[detailed,scene]",0,0,0001-01-01,2,0001-01-01,2,,
545,Tim,Doyle,,"[comics,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
546,Natalia,Drepina,,"[photography,portrait,dark]",0,0,0001-01-01,2,0001-01-01,2,,
547,David,Driskell,2020,"[melanin,abstract,colorful]",0,0,0001-01-01,2,0001-01-01,2,,
548,Philippe,Druillet,,"[comics,detailed,dark]",0,0,0001-01-01,2,0001-01-01,2,,
